skater_name,skater_country,event,location,date,segment,tech_element,info,bv,goe
Gabriella Papadakis Guillaume Cizeron,fra,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,1RH4+kpYYY,,5.00,1.71
Gabriella Papadakis Guillaume Cizeron,fra,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,NtMiSt3,,7.10,3.30
Gabriella Papadakis Guillaume Cizeron,fra,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,STw3,,5.60,1.29
Gabriella Papadakis Guillaume Cizeron,fra,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,PSt4,,8.60,3.30
Gabriella Papadakis Guillaume Cizeron,fra,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,SlLi4,,4.50,1.80
Gabriella Papadakis Guillaume Cizeron,fra,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",short,1RH4+kpYYY,,5.00,1.80
Gabriella Papadakis Guillaume Cizeron,fra,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",short,NtMiSt3,,7.10,2.83
Gabriella Papadakis Guillaume Cizeron,fra,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",short,STw4,,6.60,1.80
Gabriella Papadakis Guillaume Cizeron,fra,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",short,PSt4,,8.60,2.99
Gabriella Papadakis Guillaume Cizeron,fra,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",short,SlLi4,,4.50,1.71
Gabriella Papadakis Guillaume Cizeron,fra,2017 GP Int'x de France,Grenoble / FRA,"Nov. 19, 2017",short,1RH4+kpYYY,,5.00,1.46
Gabriella Papadakis Guillaume Cizeron,fra,2017 GP Int'x de France,Grenoble / FRA,"Nov. 19, 2017",short,NtMiSt4,,8.60,2.99
Gabriella Papadakis Guillaume Cizeron,fra,2017 GP Int'x de France,Grenoble / FRA,"Nov. 19, 2017",short,STw4,,6.60,1.37
Gabriella Papadakis Guillaume Cizeron,fra,2017 GP Int'x de France,Grenoble / FRA,"Nov. 19, 2017",short,PSt3,,7.10,3.30
Gabriella Papadakis Guillaume Cizeron,fra,2017 GP Int'x de France,Grenoble / FRA,"Nov. 19, 2017",short,SlLi4,,4.50,1.54
Gabriella Papadakis Guillaume Cizeron,fra,2017 GP Cup of China,Beijing / CHN,"Nov. 5, 2017",short,1RH4+kpYYY,,5.00,1.46
Gabriella Papadakis Guillaume Cizeron,fra,2017 GP Cup of China,Beijing / CHN,"Nov. 5, 2017",short,NtMiSt3,,7.10,2.67
Gabriella Papadakis Guillaume Cizeron,fra,2017 GP Cup of China,Beijing / CHN,"Nov. 5, 2017",short,STw4,,6.60,1.80
Gabriella Papadakis Guillaume Cizeron,fra,2017 GP Cup of China,Beijing / CHN,"Nov. 5, 2017",short,PSt4,,8.60,2.99
Gabriella Papadakis Guillaume Cizeron,fra,2017 GP Cup of China,Beijing / CHN,"Nov. 5, 2017",short,SILi4,,4.50,1.63
Gabriella Papadakis Guillaume Cizeron,fra,2017 Finlandia Trophy,Espoo / FIN,"Oct. 8, 2017",short,1RH4+kpYYY,,5.00,1.30
Gabriella Papadakis Guillaume Cizeron,fra,2017 Finlandia Trophy,Espoo / FIN,"Oct. 8, 2017",short,NtMiSt3,,7.10,2.57
Gabriella Papadakis Guillaume Cizeron,fra,2017 Finlandia Trophy,Espoo / FIN,"Oct. 8, 2017",short,STw4,,6.60,1.70
Gabriella Papadakis Guillaume Cizeron,fra,2017 Finlandia Trophy,Espoo / FIN,"Oct. 8, 2017",short,PSt3,,7.10,2.38
Gabriella Papadakis Guillaume Cizeron,fra,2017 Finlandia Trophy,Espoo / FIN,"Oct. 8, 2017",short,SlLi4,,4.50,1.30
Gabriella Papadakis Guillaume Cizeron,fra,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,STw3,,5.60,1.11
Gabriella Papadakis Guillaume Cizeron,fra,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,1MB4+kpYYY,,5.00,1.29
Gabriella Papadakis Guillaume Cizeron,fra,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,PSt3,,7.10,2.20
Gabriella Papadakis Guillaume Cizeron,fra,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,StaLi4,,4.50,1.80
Gabriella Papadakis Guillaume Cizeron,fra,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,NtDiSt3,,7.10,2.83
Gabriella Papadakis Guillaume Cizeron,fra,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",short,STw4,,6.60,1.46
Gabriella Papadakis Guillaume Cizeron,fra,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",short,1MB4+kpYYY,,5.00,1.29
Gabriella Papadakis Guillaume Cizeron,fra,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",short,PSt3,,7.10,2.51
Gabriella Papadakis Guillaume Cizeron,fra,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",short,StaLi4,,4.50,1.80
Gabriella Papadakis Guillaume Cizeron,fra,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",short,NtDiSt2,,5.60,2.20
Gabriella Papadakis Guillaume Cizeron,fra,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,STw4,,6.60,1.71
Gabriella Papadakis Guillaume Cizeron,fra,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,1MB4+kpYYY,,5.00,1.29
Gabriella Papadakis Guillaume Cizeron,fra,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,PSt2,,5.60,2.20
Gabriella Papadakis Guillaume Cizeron,fra,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,StaLi4,,4.50,1.54
Gabriella Papadakis Guillaume Cizeron,fra,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,NtDiSt4,,8.60,3.14
Gabriella Papadakis Guillaume Cizeron,fra,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",short,STw4,,6.60,1.29
Gabriella Papadakis Guillaume Cizeron,fra,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",short,1MB4+kpYYY,,5.00,1.37
Gabriella Papadakis Guillaume Cizeron,fra,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",short,PSt2,,5.60,2.36
Gabriella Papadakis Guillaume Cizeron,fra,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",short,StaLi4,,4.50,1.80
Gabriella Papadakis Guillaume Cizeron,fra,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",short,NtDiSt3,,7.10,2.36
Gabriella Papadakis Guillaume Cizeron,fra,2016 GP Trophee de France,Paris / FRA,"Nov. 13, 2016",short,STw4,,6.60,1.54
Gabriella Papadakis Guillaume Cizeron,fra,2016 GP Trophee de France,Paris / FRA,"Nov. 13, 2016",short,1MB4+kpYYY,,5.00,1.29
Gabriella Papadakis Guillaume Cizeron,fra,2016 GP Trophee de France,Paris / FRA,"Nov. 13, 2016",short,PSt3,,7.10,2.36
Gabriella Papadakis Guillaume Cizeron,fra,2016 GP Trophee de France,Paris / FRA,"Nov. 13, 2016",short,StaLi4,,4.50,1.80
Gabriella Papadakis Guillaume Cizeron,fra,2016 GP Trophee de France,Paris / FRA,"Nov. 13, 2016",short,NtDiSt3,,7.10,3.14
Gabriella Papadakis Guillaume Cizeron,fra,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",long,STw4,,6.60,1.80
Gabriella Papadakis Guillaume Cizeron,fra,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",long,CuLi4,,4.50,1.80
Gabriella Papadakis Guillaume Cizeron,fra,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",long,CiSt4,,8.60,2.99
