skater_name,skater_country,event,location,date,segment,tss,bv,tes,pcs
Gabriella Papadakis Guillaume Cizeron,fra,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,81.29,30.80,42.20,39.09
Gabriella Papadakis Guillaume Cizeron,fra,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",short,82.07,31.80,42.93,39.14
Gabriella Papadakis Guillaume Cizeron,fra,2017 GP Int'x de France,Grenoble / FRA,"Nov. 19, 2017",short,81.40,31.80,42.46,38.94
Gabriella Papadakis Guillaume Cizeron,fra,2017 GP Cup of China,Beijing / CHN,"Nov. 5, 2017",short,81.10,31.80,42.35,38.75
Gabriella Papadakis Guillaume Cizeron,fra,2017 Finlandia Trophy,Espoo / FIN,"Oct. 8, 2017",short,78.09,30.30,39.55,38.54
Gabriella Papadakis Guillaume Cizeron,fra,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,76.89,29.30,38.53,38.36
Gabriella Papadakis Guillaume Cizeron,fra,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",short,75.48,28.80,38.06,37.42
Gabriella Papadakis Guillaume Cizeron,fra,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,77.86,30.30,40.18,37.68
Gabriella Papadakis Guillaume Cizeron,fra,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",short,75.60,28.80,37.98,37.62
Gabriella Papadakis Guillaume Cizeron,fra,2016 GP Trophee de France,Paris / FRA,"Nov. 13, 2016",short,78.26,30.30,40.43,37.83
Gabriella Papadakis Guillaume Cizeron,fra,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",long,121.87,43.40,62.52,59.35
Gabriella Papadakis Guillaume Cizeron,fra,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",long,120.09,41.90,60.85,59.24
Gabriella Papadakis Guillaume Cizeron,fra,2017 GP Int'x de France,Grenoble / FRA,"Nov. 19, 2017",long,120.58,43.40,61.52,59.06
Gabriella Papadakis Guillaume Cizeron,fra,2017 GP Cup of China,Beijing / CHN,"Nov. 5, 2017",long,119.33,43.40,60.77,58.56
Gabriella Papadakis Guillaume Cizeron,fra,2017 Finlandia Trophy,Espoo / FIN,"Oct. 8, 2017",long,110.16,40.40,53.25,57.91
Gabriella Papadakis Guillaume Cizeron,fra,2017 World Championships,Helsinki / FIN,"April 2, 2017",long,119.15,42.80,60.79,58.36
Gabriella Papadakis Guillaume Cizeron,fra,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",long,114.19,41.30,56.87,57.32
Gabriella Papadakis Guillaume Cizeron,fra,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",long,114.95,40.30,57.34,57.61
Gabriella Papadakis Guillaume Cizeron,fra,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",long,111.06,39.30,54.40,56.66
Gabriella Papadakis Guillaume Cizeron,fra,2016 GP Trophee de France,Paris / FRA,"Nov. 13, 2016",long,115.24,41.30,57.77,57.47
Ekaterina Bobrova Dmitri Soloviev,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,74.43,29.70,37.48,36.95
Ekaterina Bobrova Dmitri Soloviev,rus,2018 Russian Nationals,St. Petersburg / RUS,"Dec. 23, 2017",short,77.55,29.70,39.24,38.31
Ekaterina Bobrova Dmitri Soloviev,rus,2017 GP Cup of China,Beijing / CHN,"Nov. 5, 2017",short,72.34,28.20,35.78,36.56
Ekaterina Bobrova Dmitri Soloviev,rus,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",short,76.33,31.80,39.47,36.86
Ekaterina Bobrova Dmitri Soloviev,rus,2017 Golden Spin of Zagreb,Zagreb / CRO,"Dec. 9, 2017",short,75.50,30.30,38.42,37.08
Ekaterina Bobrova Dmitri Soloviev,rus,2017 Ondrej Nepela Trophy,Bratislava / SVK,"Sept. 23, 2017",short,71.08,29.30,35.24,35.84
Ekaterina Bobrova Dmitri Soloviev,rus,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,73.54,28.20,36.68,36.86
Ekaterina Bobrova Dmitri Soloviev,rus,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",short,76.18,30.30,39.32,36.86
Ekaterina Bobrova Dmitri Soloviev,rus,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,74.04,29.70,37.86,36.18
Ekaterina Bobrova Dmitri Soloviev,rus,2016 GP Rostelecom Cup,Moscow / RUS,"Nov. 6, 2016",short,74.92,30.30,37.91,37.01
Ekaterina Bobrova Dmitri Soloviev,rus,2016 GP Skate America,"Chicago, Il. / USA","Oct. 23, 2016",short,68.92,26.10,33.32,35.60
Ekaterina Bobrova Dmitri Soloviev,rus,2016 Ondrej Nepela Memorial,Bratislava / SVK,"Oct. 1, 2016",short,71.04,28.70,35.20,35.84
Ekaterina Bobrova Dmitri Soloviev,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",long,112.70,41.90,56.56,56.14
Ekaterina Bobrova Dmitri Soloviev,rus,2018 Russian Nationals,St. Petersburg / RUS,"Dec. 23, 2017",long,115.53,41.90,57.72,57.81
Ekaterina Bobrova Dmitri Soloviev,rus,2017 GP Cup of China,Beijing / CHN,"Nov. 5, 2017",long,110.50,41.90,55.36,55.14
Ekaterina Bobrova Dmitri Soloviev,rus,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",long,108.41,41.40,52.94,55.47
Ekaterina Bobrova Dmitri Soloviev,rus,2017 Golden Spin of Zagreb,Zagreb / CRO,"Dec. 9, 2017",long,111.16,41.90,55.48,55.68
Ekaterina Bobrova Dmitri Soloviev,rus,2017 Ondrej Nepela Trophy,Bratislava / SVK,"Sept. 23, 2017",long,110.84,41.90,55.28,55.56
Ekaterina Bobrova Dmitri Soloviev,rus,2017 World Championships,Helsinki / FIN,"April 2, 2017",long,110.52,41.30,54.74,55.78
Ekaterina Bobrova Dmitri Soloviev,rus,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",long,110.38,39.80,53.95,56.43
Ekaterina Bobrova Dmitri Soloviev,rus,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",long,107.91,40.80,52.92,54.99
Ekaterina Bobrova Dmitri Soloviev,rus,2016 GP Rostelecom Cup,Moscow / RUS,"Nov. 6, 2016",long,111.76,41.30,55.61,56.15
Ekaterina Bobrova Dmitri Soloviev,rus,2016 GP Skate America,"Chicago, Il. / USA","Oct. 23, 2016",long,105.85,39.80,53.02,53.83
Ekaterina Bobrova Dmitri Soloviev,rus,2016 Ondrej Nepela Memorial,Bratislava / SVK,"Oct. 1, 2016",long,107.80,40.30,53.26,54.54
Tessa Virtue Scott Moir,can,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",short,81.53,31.80,42.56,38.97
Tessa Virtue Scott Moir,can,2017 GP NHK Trophy,Osaka / JPN,"Nov. 12, 2017",short,80.92,32.30,42.28,38.64
Tessa Virtue Scott Moir,can,2017 GP Skate Canada,Regina / CAN,"Oct. 29, 2017",short,82.68,33.30,43.91,38.77
