skater_name,skater_country,event,location,date,segment,tech_element,info,bv,goe
Evgenia Medvedeva,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,FCSp4,,3.20,1.00
Evgenia Medvedeva,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,StSq4,,3.90,2.00
Evgenia Medvedeva,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,3F+3T,,10.56,1.30
Evgenia Medvedeva,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,3Lo,,5.61,1.60
Evgenia Medvedeva,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,2A,,3.63,-1.00
Evgenia Medvedeva,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,CCoSp4,,3.50,1.14
Evgenia Medvedeva,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,LSp4,,2.70,1.29
Evgenia Medvedeva,rus,2017 GP NHK Trophy,Osaka / JPN,"Nov. 12, 2017",short,FCSp4,,3.20,1.00
Evgenia Medvedeva,rus,2017 GP NHK Trophy,Osaka / JPN,"Nov. 12, 2017",short,StSq4,,3.90,1.80
Evgenia Medvedeva,rus,2017 GP NHK Trophy,Osaka / JPN,"Nov. 12, 2017",short,3F+3T,,10.56,1.60
Evgenia Medvedeva,rus,2017 GP NHK Trophy,Osaka / JPN,"Nov. 12, 2017",short,3Lo,,5.61,1.50
Evgenia Medvedeva,rus,2017 GP NHK Trophy,Osaka / JPN,"Nov. 12, 2017",short,2A,,3.63,0.50
Evgenia Medvedeva,rus,2017 GP NHK Trophy,Osaka / JPN,"Nov. 12, 2017",short,CCoSp4,,3.50,1.00
Evgenia Medvedeva,rus,2017 GP NHK Trophy,Osaka / JPN,"Nov. 12, 2017",short,LSp4,,2.70,1.21
Evgenia Medvedeva,rus,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",short,FCSp4,,3.20,1.14
Evgenia Medvedeva,rus,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",short,StSq4,,3.90,2.00
Evgenia Medvedeva,rus,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",short,3F+3T,,10.56,1.40
Evgenia Medvedeva,rus,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",short,3Lo,,5.61,1.40
Evgenia Medvedeva,rus,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",short,2A,,3.63,0.93
Evgenia Medvedeva,rus,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",short,CCoSp4,,3.50,1.43
