skater_name,skater_country,event,location,date,segment,tss,bv,tes,pcs
Evgenia Medvedeva,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,78.57,33.10,40.43,38.14
Evgenia Medvedeva,rus,2017 GP NHK Trophy,Osaka / JPN,"Nov. 12, 2017",short,79.99,33.10,41.71,38.28
Evgenia Medvedeva,rus,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",short,80.75,33.10,42.69,38.06
Evgenia Medvedeva,rus,2017 Ondrej Nepela Trophy,Bratislava / SVK,"Sept. 23, 2017",short,80.00,33.10,42.92,37.08
Evgenia Medvedeva,rus,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,79.01,33.10,42.10,36.91
Evgenia Medvedeva,rus,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",short,78.92,33.10,42.00,36.92
Evgenia Medvedeva,rus,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,79.21,33.10,42.55,36.66
Evgenia Medvedeva,rus,2016 GP Trophee de France,Paris / FRA,"Nov. 13, 2016",short,78.52,33.10,42.16,36.36
Evgenia Medvedeva,rus,2016 GP Skate Canada,Mississauga / CAN,"Oct. 30, 2016",short,76.24,33.10,41.22,35.02
Evgenia Medvedeva,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",long,154.29,62.76,77.15,77.14
Evgenia Medvedeva,rus,2017 GP NHK Trophy,Osaka / JPN,"Nov. 12, 2017",long,144.40,62.76,70.60,74.80
Evgenia Medvedeva,rus,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",long,150.46,62.33,75.35,76.11
Evgenia Medvedeva,rus,2017 Ondrej Nepela Trophy,Bratislava / SVK,"Sept. 23, 2017",long,146.72,60.98,72.88,73.84
Evgenia Medvedeva,rus,2017 World Championships,Helsinki / FIN,"April 2, 2017",long,154.40,62.33,78.27,76.13
Evgenia Medvedeva,rus,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",long,150.79,61.24,75.86,74.93
Evgenia Medvedeva,rus,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",long,148.45,62.76,74.23,74.22
Evgenia Medvedeva,rus,2016 GP Trophee de France,Paris / FRA,"Nov. 13, 2016",long,143.02,62.33,72.06,71.96
Evgenia Medvedeva,rus,2016 GP Skate Canada,Mississauga / CAN,"Oct. 30, 2016",long,144.41,61.23,72.86,71.55
Kaetlyn Osmond,can,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",short,77.04,32.53,40.64,36.40
Kaetlyn Osmond,can,2017 GP Int'x de France,Grenoble / FRA,"Nov. 19, 2017",short,69.05,29.53,34.35,34.70
Kaetlyn Osmond,can,2017 GP Skate Canada,Regina / CAN,"Oct. 29, 2017",short,76.06,31.93,40.12,35.94
Kaetlyn Osmond,can,2017 Autumn Classic Int'l,Montréal / CAN,"Sept. 23, 2017",short,75.21,31.93,39.85,35.36
Kaetlyn Osmond,can,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,75.98,32.53,41.23,34.75
Kaetlyn Osmond,can,2017 Four Continents,Gangneung / KOR,"Feb. 19, 2017",short,68.21,32.53,36.42,32.79
Kaetlyn Osmond,can,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,75.54,32.53,40.62,34.92
Kaetlyn Osmond,can,2016 GP Cup of China,Beijing / CHN,"Nov. 20, 2016",short,72.20,32.53,38.87,33.33
Kaetlyn Osmond,can,2016 GP Skate Canada,Mississauga / CAN,"Oct. 30, 2016",short,74.33,32.53,40.93,33.40
Kaetlyn Osmond,can,2016 Finlandia Trophy,Espoo / FIN,"Oct. 9, 2016",short,64.73,29.53,35.35,29.38
Kaetlyn Osmond,can,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",long,138.12,56.46,66.50,72.62
Kaetlyn Osmond,can,2017 GP Int'x de France,Grenoble / FRA,"Nov. 19, 2017",long,137.72,59.40,68.42,70.30
Kaetlyn Osmond,can,2017 GP Skate Canada,Regina / CAN,"Oct. 29, 2017",long,136.85,57.28,65.95,71.90
Kaetlyn Osmond,can,2017 Autumn Classic Int'l,Montréal / CAN,"Sept. 23, 2017",long,142.34,57.42,71.82,71.52
Kaetlyn Osmond,can,2017 World Championships,Helsinki / FIN,"April 2, 2017",long,142.15,57.89,70.21,71.94
Kaetlyn Osmond,can,2017 Four Continents,Gangneung / KOR,"Feb. 19, 2017",long,115.96,54.26,55.25,64.71
Kaetlyn Osmond,can,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",long,136.91,54.72,66.85,70.06
Kaetlyn Osmond,can,2016 GP Cup of China,Beijing / CHN,"Nov. 20, 2016",long,123.80,52.55,57.27,67.53
Kaetlyn Osmond,can,2016 GP Skate Canada,Mississauga / CAN,"Oct. 30, 2016",long,132.12,57.47,65.37,67.75
Kaetlyn Osmond,can,2016 Finlandia Trophy,Espoo / FIN,"Oct. 9, 2016",long,122.54,57.09,60.59,61.95
Maria Sotskova,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,68.70,32.89,35.13,33.57
Maria Sotskova,rus,2018 Russian Nationals,St. Petersburg / RUS,"Dec. 23, 2017",short,76.39,32.66,39.57,36.82
Maria Sotskova,rus,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",short,74.00,33.06,40.11,33.89
Maria Sotskova,rus,2017 GP Int'x de France,Grenoble / FRA,"Nov. 19, 2017",short,67.79,32.06,35.26,32.53
Maria Sotskova,rus,2017 GP Skate Canada,Regina / CAN,"Oct. 29, 2017",short,66.10,31.36,34.39,31.71
Maria Sotskova,rus,2017 Finlandia Trophy,Espoo / FIN,"Oct. 8, 2017",short,67.69,31.53,37.14,31.55
Maria Sotskova,rus,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,69.76,33.06,38.14,31.62
Maria Sotskova,rus,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",short,72.17,33.06,39.66,32.51
Maria Sotskova,rus,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,65.74,30.20,33.31,32.43
Maria Sotskova,rus,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",short,69.96,32.46,37.78,32.18
Maria Sotskova,rus,2016 GP Trophee de France,Paris / FRA,"Nov. 13, 2016",short,68.71,33.06,38.56,30.15
Maria Sotskova,rus,2016 Ondrej Nepela Memorial,Bratislava / SVK,"Oct. 1, 2016",short,61.58,29.46,32.74,28.84
Maria Sotskova,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",long,132.11,60.04,65.30,67.81
Maria Sotskova,rus,2018 Russian Nationals,St. Petersburg / RUS,"Dec. 23, 2017",long,145.37,62.62,71.03,74.34
Maria Sotskova,rus,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",long,142.28,62.62,73.59,68.69
Maria Sotskova,rus,2017 GP Int'x de France,Grenoble / FRA,"Nov. 19, 2017",long,140.99,62.52,73.78,67.21
Maria Sotskova,rus,2017 GP Skate Canada,Regina / CAN,"Oct. 29, 2017",long,126.42,57.46,61.34,65.08
Maria Sotskova,rus,2017 Finlandia Trophy,Espoo / FIN,"Oct. 8, 2017",long,137.61,60.92,69.68,67.93
Maria Sotskova,rus,2017 World Championships,Helsinki / FIN,"April 2, 2017",long,122.44,52.79,58.65,64.79
Maria Sotskova,rus,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",long,120.35,57.69,59.19,63.16
Maria Sotskova,rus,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",long,133.05,59.83,66.77,66.28
Maria Sotskova,rus,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",long,125.92,54.33,58.83,67.09
Maria Sotskova,rus,2016 GP Trophee de France,Paris / FRA,"Nov. 13, 2016",long,131.64,61.04,67.77,63.87
Maria Sotskova,rus,2016 Ondrej Nepela Memorial,Bratislava / SVK,"Oct. 1, 2016",long,128.38,60.44,67.10,61.28
Satoko Miyahara,jpn,2018 Four Continents,Taipei City / TPE,"Feb. 27, 2018",short,71.74,31.04,37.34,34.40
Satoko Miyahara,jpn,2018 Japanese Nationals,Tokyo / JPN,"Dec. 23, 2017",short,73.23,31.54,37.40,35.83
Satoko Miyahara,jpn,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",short,74.61,32.84,39.39,35.22
Satoko Miyahara,jpn,2017 GP Skate America,Lake Placid / USA,"Nov. 26, 2017",short,70.72,32.84,36.77,33.95
Satoko Miyahara,jpn,2017 GP NHK Trophy,Osaka / JPN,"Nov. 12, 2017",short,65.05,27.44,31.02,34.03
Satoko Miyahara,jpn,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,74.64,33.54,40.99,33.65
Satoko Miyahara,jpn,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",short,64.20,28.26,32.08,33.12
Satoko Miyahara,jpn,2016 GP Skate Canada,Mississauga / CAN,"Oct. 30, 2016",short,65.24,29.42,32.09,33.15
Satoko Miyahara,jpn,2016 US Int'l FS Classic,Salt Lake City / USA,"Sept. 18, 2016",short,70.09,32.33,37.53,32.56
Satoko Miyahara,jpn,2018 Four Continents,Taipei City / TPE,"Feb. 27, 2018",long,135.28,59.56,66.52,69.76
Satoko Miyahara,jpn,2018 Japanese Nationals,Tokyo / JPN,"Dec. 23, 2017",long,147.16,61.04,72.75,74.41
Satoko Miyahara,jpn,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",long,138.88,58.14,67.00,71.88
Satoko Miyahara,jpn,2017 GP Skate America,Lake Placid / USA,"Nov. 26, 2017",long,143.31,62.84,72.23,71.08
Satoko Miyahara,jpn,2017 GP NHK Trophy,Osaka / JPN,"Nov. 12, 2017",long,126.75,53.23,58.23,68.52
Satoko Miyahara,jpn,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",long,143.69,61.24,73.24,70.45
Satoko Miyahara,jpn,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",long,133.80,57.96,64.64,69.16
Satoko Miyahara,jpn,2016 GP Skate Canada,Mississauga / CAN,"Oct. 30, 2016",long,126.84,54.98,59.42,67.42
Satoko Miyahara,jpn,2016 US Int'l FS Classic,Salt Lake City / USA,"Sept. 18, 2016",long,136.66,61.24,70.02,66.64
Alina Zagitova,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,80.27,34.97,43.99,36.28
Alina Zagitova,rus,2018 Russian Nationals,St. Petersburg / RUS,"Dec. 23, 2017",short,78.15,34.97,41.26,36.89
Alina Zagitova,rus,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",short,76.27,34.97,41.21,35.06
Alina Zagitova,rus,2017 GP Int'x de France,Grenoble / FRA,"Nov. 19, 2017",short,62.46,31.34,32.27,31.19
Alina Zagitova,rus,2017 GP Cup of China,Beijing / CHN,"Nov. 5, 2017",short,69.44,34.97,39.01,31.43
Alina Zagitova,rus,2017 Lombardia Trophy,Bergamo / ITA,"Sept. 17, 2017",short,71.29,34.97,40.65,31.64
Alina Zagitova,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",long,157.97,66.01,82.67,75.30
Alina Zagitova,rus,2018 Russian Nationals,St. Petersburg / RUS,"Dec. 23, 2017",long,155.44,64.58,79.36,76.08
Alina Zagitova,rus,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",long,147.03,66.01,76.61,70.42
Alina Zagitova,rus,2017 GP Int'x de France,Grenoble / FRA,"Nov. 19, 2017",long,151.34,66.01,81.80,69.54
Alina Zagitova,rus,2017 GP Cup of China,Beijing / CHN,"Nov. 5, 2017",long,144.44,64.03,76.09,68.35
Alina Zagitova,rus,2017 Lombardia Trophy,Bergamo / ITA,"Sept. 17, 2017",long,147.17,66.01,79.65,67.52
Carolina Kostner,ita,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,78.30,31.63,39.93,38.37
Carolina Kostner,ita,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",short,72.82,27.63,35.36,37.46
