skater_name,short_tes,long_tes,short_pcs,long_pcs,short_bv,long_bv,short_tss,long_tss
Yuzuru Hanyu,51.44,99.13,46.60625,91.8625,43.9275,87.65875,97.67125,190.2425
Shoma Uno,52.9158333333,101.253636364,44.8858333333,91.26,47.8191666667,92.9772727273,97.3016666667,191.786363636
Javier Fernandez,53.0355555556,91.9688888889,46.8122222222,93.0222222222,45.4611111111,84.4355555556,99.6255555556,184.213333333
Mikhail Kolyada,46.095,84.2075,42.2525,85.1116666667,41.3883333333,80.7083333333,88.0141666667,167.569166667
Nathan Chen,53.8218181818,102.38,42.7481818182,85.7436363636,50.7690909091,97.7090909091,96.2063636364,187.214545455
Boyang Jin,50.01,98.8142857143,40.14625,79.2914285714,47.60375,98.3257142857,89.78125,177.105714286
Alexei Bychenko,42.419,79.825,38.622,76.752,39.909,77.572,80.941,156.277
Patrick Chan,46.4471428571,85.1871428571,45.7442857143,91.62,41.6871428571,78.1071428571,91.9057142857,175.378571429
Dmitri Aliev,46.214,79.228,40.594,82.472,41.964,77.264,86.608,160.1
Adam Rippon,44.1366666667,83.7422222222,43.0577777778,86.54,37.4244444444,77.5,87.1944444444,169.615555556
