skater_name,skater_country,event,location,date,segment,tss,bv,tes,pcs
Yuzuru Hanyu,jpn,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",short,94.85,46.91,49.24,46.61
Yuzuru Hanyu,jpn,2017 Autumn Classic Int'l,Montréal / CAN,"Sept. 23, 2017",short,112.72,49.51,64.17,48.55
Yuzuru Hanyu,jpn,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,98.39,45.45,52.04,47.35
Yuzuru Hanyu,jpn,2017 Four Continents,Gangneung / KOR,"Feb. 19, 2017",short,97.04,39.55,50.11,46.93
Yuzuru Hanyu,jpn,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,106.53,49.75,59.18,47.35
Yuzuru Hanyu,jpn,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",short,103.89,49.75,57.35,46.54
Yuzuru Hanyu,jpn,2016 GP Skate Canada,Mississauga / CAN,"Oct. 30, 2016",short,79.65,32.05,35.48,44.17
Yuzuru Hanyu,jpn,2016 Autumn Classic Int'l,Montreal / CAN,"Oct. 1, 2016",short,88.30,38.45,43.95,45.35
Yuzuru Hanyu,jpn,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",long,195.92,88.47,101.54,94.38
Yuzuru Hanyu,jpn,2017 Autumn Classic Int'l,Montréal / CAN,"Sept. 23, 2017",long,155.52,61.50,67.02,89.50
Yuzuru Hanyu,jpn,2017 World Championships,Helsinki / FIN,"April 2, 2017",long,223.20,103.43,126.12,97.08
Yuzuru Hanyu,jpn,2017 Four Continents,Gangneung / KOR,"Feb. 19, 2017",long,206.67,93.20,112.33,94.34
Yuzuru Hanyu,jpn,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",long,187.37,88.24,96.01,92.36
Yuzuru Hanyu,jpn,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",long,197.58,94.13,106.06,92.52
Yuzuru Hanyu,jpn,2016 GP Skate Canada,Mississauga / CAN,"Oct. 30, 2016",long,183.41,85.81,96.29,88.12
Yuzuru Hanyu,jpn,2016 Autumn Classic Int'l,Montreal / CAN,"Oct. 1, 2016",long,172.27,86.49,87.67,86.60
Shoma Uno,jpn,2018 Four Continents,Taipei City / TPE,"Feb. 27, 2018",short,100.49,46.71,54.92,45.57
Shoma Uno,jpn,2018 Japanese Nationals,Tokyo / JPN,"Dec. 23, 2017",short,96.83,46.58,50.84,45.99
Shoma Uno,jpn,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",short,101.51,51.31,57.04,46.47
Shoma Uno,jpn,2017 GP Int'x de France,Grenoble / FRA,"Nov. 19, 2017",short,93.92,47.61,48.91,46.01
Shoma Uno,jpn,2017 GP Skate Canada,Regina / CAN,"Oct. 29, 2017",short,103.62,47.41,57.12,46.50
Shoma Uno,jpn,2017 Lombardia Trophy,Bergamo / ITA,"Sept. 17, 2017",short,104.87,50.31,59.17,45.70
Shoma Uno,jpn,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,104.86,49.85,59.16,45.70
Shoma Uno,jpn,2017 Four Continents,Gangneung / KOR,"Feb. 19, 2017",short,100.28,49.85,56.07,44.21
Shoma Uno,jpn,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,86.82,39.55,44.38,43.44
Shoma Uno,jpn,2016 GP Rostelecom Cup,Moscow / RUS,"Nov. 6, 2016",short,98.59,49.85,54.28,44.31
Shoma Uno,jpn,2016 GP Skate America,"Chicago, Il. / USA","Oct. 23, 2016",short,89.15,47.95,46.87,43.28
Shoma Uno,jpn,2016 Lombardia Trophy,Bergamo / ITA,"Sept. 11, 2016",short,86.68,46.85,46.23,41.45
Shoma Uno,jpn,2018 Four Continents,Taipei City / TPE,"Feb. 27, 2018",long,197.45,96.34,106.67,91.78
Shoma Uno,jpn,2018 Japanese Nationals,Tokyo / JPN,"Dec. 23, 2017",long,186.47,87.02,94.21,93.26
Shoma Uno,jpn,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",long,184.50,90.64,94.14,91.36
Shoma Uno,jpn,2017 GP Int'x de France,Grenoble / FRA,"Nov. 19, 2017",long,179.40,90.19,90.20,91.20
Shoma Uno,jpn,2017 GP Skate Canada,Regina / CAN,"Oct. 29, 2017",long,197.48,100.49,106.32,91.16
Shoma Uno,jpn,2017 Lombardia Trophy,Bergamo / ITA,"Sept. 17, 2017",long,214.97,109.09,122.87,92.10
Shoma Uno,jpn,2017 World Championships,Helsinki / FIN,"April 2, 2017",long,214.45,104.74,120.03,94.42
Shoma Uno,jpn,2017 Four Continents,Gangneung / KOR,"Feb. 19, 2017",long,187.77,91.23,98.69,91.08
Shoma Uno,jpn,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",long,195.69,92.48,104.75,90.94
Shoma Uno,jpn,2016 GP Rostelecom Cup,Moscow / RUS,"Nov. 6, 2016",long,186.48,87.25,96.12,91.36
Shoma Uno,jpn,2016 GP Skate America,"Chicago, Il. / USA","Oct. 23, 2016",long,190.19,87.97,100.11,91.08
Shoma Uno,jpn,2016 Lombardia Trophy,Bergamo / ITA,"Sept. 11, 2016",long,172.25,81.65,86.35,85.90
Javier Fernandez,esp,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,103.82,47.15,56.00,47.82
Javier Fernandez,esp,2017 GP Int'x de France,Grenoble / FRA,"Nov. 19, 2017",short,107.86,47.75,60.00,47.86
Javier Fernandez,esp,2017 GP Cup of China,Beijing / CHN,"Nov. 5, 2017",short,90.57,38.75,44.35,46.22
Javier Fernandez,esp,2017 Autumn Classic Int'l,Montréal / CAN,"Sept. 23, 2017",short,101.20,44.75,54.65,46.55
Javier Fernandez,esp,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,109.05,47.75,60.79,48.26
Javier Fernandez,esp,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",short,104.25,47.75,56.93,47.32
Javier Fernandez,esp,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,91.76,47.25,47.45,45.31
Javier Fernandez,esp,2016 GP Trophee de France,Paris / FRA,"Nov. 13, 2016",short,96.57,47.75,51.68,45.89
Javier Fernandez,esp,2016 GP Rostelecom Cup,Moscow / RUS,"Nov. 6, 2016",short,91.55,40.25,45.47,46.08
