skater_name,skater_country,event,location,date,segment,tech_element,info,bv,goe
Evgenia Tarasova Vladimir Morozov,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,3Tw4,,6.60,2.10
Evgenia Tarasova Vladimir Morozov,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,3T,,4.30,-1.00
Evgenia Tarasova Vladimir Morozov,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,3LoTh,,5.00,-2.10
Evgenia Tarasova Vladimir Morozov,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,FiDs3,,3.20,1.30
Evgenia Tarasova Vladimir Morozov,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,PCoSp4,,4.50,1.14
Evgenia Tarasova Vladimir Morozov,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,3Li4,,4.50,1.07
Evgenia Tarasova Vladimir Morozov,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,StSq4,,3.90,1.40
Evgenia Tarasova Vladimir Morozov,rus,2018 Russian Nationals,St. Petersburg / RUS,"Dec. 23, 2017",short,3Tw4,,6.60,2.10
Evgenia Tarasova Vladimir Morozov,rus,2018 Russian Nationals,St. Petersburg / RUS,"Dec. 23, 2017",short,3T,,4.30,-2.10
Evgenia Tarasova Vladimir Morozov,rus,2018 Russian Nationals,St. Petersburg / RUS,"Dec. 23, 2017",short,3LoTh,,5.00,0.90
Evgenia Tarasova Vladimir Morozov,rus,2018 Russian Nationals,St. Petersburg / RUS,"Dec. 23, 2017",short,FiDs4,,3.50,1.60
Evgenia Tarasova Vladimir Morozov,rus,2018 Russian Nationals,St. Petersburg / RUS,"Dec. 23, 2017",short,PCoSp4,,4.50,1.00
Evgenia Tarasova Vladimir Morozov,rus,2018 Russian Nationals,St. Petersburg / RUS,"Dec. 23, 2017",short,3Li4,,4.50,1.36
Evgenia Tarasova Vladimir Morozov,rus,2018 Russian Nationals,St. Petersburg / RUS,"Dec. 23, 2017",short,StSq4,,3.90,1.40
Evgenia Tarasova Vladimir Morozov,rus,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",short,3Tw4,,6.60,1.90
Evgenia Tarasova Vladimir Morozov,rus,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",short,3T,,4.30,0.50
Evgenia Tarasova Vladimir Morozov,rus,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",short,3LoTh,,5.00,2.10
Evgenia Tarasova Vladimir Morozov,rus,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",short,FiDs4,,3.50,1.70
