skater_name,skater_country,event,location,date,segment,tss,bv,tes,pcs
Evgenia Tarasova Vladimir Morozov,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",short,70.37,32.00,35.91,35.46
Evgenia Tarasova Vladimir Morozov,rus,2018 Russian Nationals,St. Petersburg / RUS,"Dec. 23, 2017",short,75.36,32.30,38.56,37.80
Evgenia Tarasova Vladimir Morozov,rus,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",short,78.83,32.30,42.24,36.59
Evgenia Tarasova Vladimir Morozov,rus,2017 GP Int'x de France,Grenoble / FRA,"Nov. 19, 2017",short,77.84,32.30,41.90,36.94
Evgenia Tarasova Vladimir Morozov,rus,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",short,76.88,32.00,39.94,36.94
Evgenia Tarasova Vladimir Morozov,rus,2017 Nebelhorn Trophy,Oberstdorf / GER,"Sept. 30, 2017",short,77.52,31.80,41.63,36.89
Evgenia Tarasova Vladimir Morozov,rus,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,79.37,34.30,43.51,35.86
Evgenia Tarasova Vladimir Morozov,rus,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",short,80.82,34.30,44.50,36.32
Evgenia Tarasova Vladimir Morozov,rus,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,78.60,34.00,43.49,35.11
Evgenia Tarasova Vladimir Morozov,rus,2016 GP Trophee de France,Paris / FRA,"Nov. 13, 2016",short,76.24,33.50,41.87,34.37
Evgenia Tarasova Vladimir Morozov,rus,2016 GP Skate America,"Chicago, Il. / USA","Oct. 23, 2016",short,75.24,34.00,41.54,33.70
Evgenia Tarasova Vladimir Morozov,rus,2016 Ondrej Nepela Memorial,Bratislava / SVK,"Oct. 1, 2016",short,69.06,34.00,38.14,31.92
Evgenia Tarasova Vladimir Morozov,rus,2018 European Championships,Moscow / RUS,"Jan. 21, 2018",long,151.23,62.80,76.43,74.80
Evgenia Tarasova Vladimir Morozov,rus,2018 Russian Nationals,St. Petersburg / RUS,"Dec. 23, 2017",long,147.98,59.30,71.47,76.51
Evgenia Tarasova Vladimir Morozov,rus,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",long,129.90,52.20,58.07,71.83
Evgenia Tarasova Vladimir Morozov,rus,2017 GP Int'x de France,Grenoble / FRA,"Nov. 19, 2017",long,140.36,55.80,67.05,73.31
Evgenia Tarasova Vladimir Morozov,rus,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",long,147.37,62.90,73.79,74.58
Evgenia Tarasova Vladimir Morozov,rus,2017 Nebelhorn Trophy,Oberstdorf / GER,"Sept. 30, 2017",long,140.94,57.70,68.06,73.88
Evgenia Tarasova Vladimir Morozov,rus,2017 World Championships,Helsinki / FIN,"April 2, 2017",long,139.66,61.40,70.17,70.49
Evgenia Tarasova Vladimir Morozov,rus,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",long,146.76,57.10,72.82,73.94
Evgenia Tarasova Vladimir Morozov,rus,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",long,135.25,57.00,66.05,69.20
Evgenia Tarasova Vladimir Morozov,rus,2016 GP Trophee de France,Paris / FRA,"Nov. 13, 2016",long,130.70,56.00,63.21,67.49
Evgenia Tarasova Vladimir Morozov,rus,2016 GP Skate America,"Chicago, Il. / USA","Oct. 23, 2016",long,110.70,49.40,49.84,61.86
Evgenia Tarasova Vladimir Morozov,rus,2016 Ondrej Nepela Memorial,Bratislava / SVK,"Oct. 1, 2016",long,128.74,59.80,65.74,64.00
Aljona Savchenko Bruno Massot,ger,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",short,79.43,32.50,42.53,36.90
Aljona Savchenko Bruno Massot,ger,2017 GP Skate America,Lake Placid / USA,"Nov. 26, 2017",short,72.55,31.00,37.09,36.46
Aljona Savchenko Bruno Massot,ger,2017 GP Skate Canada,Regina / CAN,"Oct. 29, 2017",short,77.34,35.10,40.74,36.60
Aljona Savchenko Bruno Massot,ger,2017 Nebelhorn Trophy,Oberstdorf / GER,"Sept. 30, 2017",short,72.99,34.20,37.42,36.57
Aljona Savchenko Bruno Massot,ger,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,79.84,37.10,43.09,36.75
Aljona Savchenko Bruno Massot,ger,2017 European Championships,Ostrava / CZE,"Jan. 29, 2017",short,73.76,32.60,38.67,36.09
Aljona Savchenko Bruno Massot,ger,2016 GP Trophee de France,Paris / FRA,"Nov. 13, 2016",short,77.55,35.30,41.83,35.72
Aljona Savchenko Bruno Massot,ger,2016 GP Rostelecom Cup,Moscow / RUS,"Nov. 6, 2016",short,69.51,34.00,36.73,34.78
Aljona Savchenko Bruno Massot,ger,2017 Grand Prix Final,Nagoya / JPN,"Dec. 10, 2017",long,157.25,61.50,80.23,77.02
Aljona Savchenko Bruno Massot,ger,2017 GP Skate America,Lake Placid / USA,"Nov. 26, 2017",long,150.58,59.70,75.31,75.27
