skater_name,skater_country,event,location,date,segment,skating_skills,transitions,performance,composition,interpretation
Yuzuru Hanyu,jpn,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",short,9.43,9.18,9.21,9.43,9.36
Yuzuru Hanyu,jpn,2017 Autumn Classic Int'l,Montréal / CAN,"Sept. 23, 2017",short,9.65,9.55,9.80,9.80,9.75
Yuzuru Hanyu,jpn,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,9.50,9.21,9.57,9.50,9.57
Yuzuru Hanyu,jpn,2017 Four Continents,Gangneung / KOR,"Feb. 19, 2017",short,9.46,9.25,9.29,9.39,9.54
Yuzuru Hanyu,jpn,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,9.39,9.25,9.64,9.50,9.57
Yuzuru Hanyu,jpn,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",short,9.39,9.04,9.29,9.36,9.46
Yuzuru Hanyu,jpn,2016 GP Skate Canada,Mississauga / CAN,"Oct. 30, 2016",short,8.93,8.71,8.71,8.93,8.89
Yuzuru Hanyu,jpn,2016 Autumn Classic Int'l,Montreal / CAN,"Oct. 1, 2016",short,9.20,8.80,8.95,9.15,9.25
Yuzuru Hanyu,jpn,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",long,9.54,9.18,9.43,9.50,9.54
Yuzuru Hanyu,jpn,2017 Autumn Classic Int'l,Montréal / CAN,"Sept. 23, 2017",long,9.15,8.95,8.55,9.10,9.00
Yuzuru Hanyu,jpn,2017 World Championships,Helsinki / FIN,"April 2, 2017",long,9.68,9.46,9.86,9.75,9.79
Yuzuru Hanyu,jpn,2017 Four Continents,Gangneung / KOR,"Feb. 19, 2017",long,9.46,9.25,9.54,9.46,9.46
Yuzuru Hanyu,jpn,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",long,9.36,9.11,9.07,9.32,9.32
