skater_name,competition,quads,total_quad_value
Yuzuru Hanyu,2017 GP Rostelecom Cup,5,62.23
Yuzuru Hanyu,2017 Autumn Classic Int'l,4,54.35
Yuzuru Hanyu,2017 World Championships,6,81.04
Yuzuru Hanyu,2017 Four Continents,5,67.45
Yuzuru Hanyu,2016 Grand Prix Final,6,70.23
Yuzuru Hanyu,2016 GP NHK Trophy,6,69.81
Yuzuru Hanyu,2016 GP Skate Canada,4,30.26
Yuzuru Hanyu,2016 Autumn Classic Int'l,4,41.3
Shoma Uno,2018 Four Continents,6,66.72
Shoma Uno,2018 Japanese Nationals,5,52.28
Shoma Uno,2017 Grand Prix Final,7,71.59
Shoma Uno,2017 GP Int'x de France,6,54.79
Shoma Uno,2017 GP Skate Canada,6,72.06
Shoma Uno,2017 Lombardia Trophy,7,94.48
Shoma Uno,2017 World Championships,6,82.62
Shoma Uno,2017 Four Continents,6,80.56
Shoma Uno,2016 Grand Prix Final,5,52.15
Shoma Uno,2016 GP Rostelecom Cup,5,53.28
Shoma Uno,2016 GP Skate America,5,61.6
Shoma Uno,2016 Lombardia Trophy,5,42.48
Javier Fernandez,2018 European Championships,4,56.84
Javier Fernandez,2017 GP Int'x de France,5,62.33
Javier Fernandez,2017 GP Cup of China,2,22.0
Javier Fernandez,2017 Autumn Classic Int'l,4,55.88
Javier Fernandez,2017 World Championships,5,65.78
Javier Fernandez,2017 European Championships,5,60.41
Javier Fernandez,2016 Grand Prix Final,4,42.7
Javier Fernandez,2016 GP Trophee de France,5,60.01
Javier Fernandez,2016 GP Rostelecom Cup,4,52.91
Mikhail Kolyada,2018 European Championships,3,27.9
Mikhail Kolyada,2018 Russian Nationals,4,47.58
Mikhail Kolyada,2017 Grand Prix Final,5,60.82
Mikhail Kolyada,2017 GP Cup of China,4,54.56
Mikhail Kolyada,2017 GP Rostelecom Cup,4,40.89
Mikhail Kolyada,2017 Finlandia Trophy,3,43.59
Mikhail Kolyada,2017 Ondrej Nepela Trophy,4,39.03
Mikhail Kolyada,2017 World Championships,3,37.73
Mikhail Kolyada,2017 European Championships,3,33.98
Mikhail Kolyada,2016 GP Rostelecom Cup,2,27.19
Mikhail Kolyada,2016 Finlandia Trophy,3,21.0
Mikhail Kolyada,2016 GP NHK Trophy,2,11.8
Nathan Chen,2018 US Nationals,7,106.76
Nathan Chen,2017 Grand Prix Final,7,86.84
Nathan Chen,2017 GP Skate America,6,85.77
Nathan Chen,2017 GP Rostelecom Cup,6,93.4
Nathan Chen,2017 US Int'l FS Classic,3,43.16
Nathan Chen,2017 World Championships,8,102.98
Nathan Chen,2017 Four Continents,7,101.86
Nathan Chen,2016 Grand Prix Final,6,79.86
Nathan Chen,2016 GP NHK Trophy,6,74.7
Nathan Chen,2016 GP Trophee de France,7,85.76
Nathan Chen,2016 Finlandia Trophy,7,83.89
Boyang Jin,2018 Four Continents,6,85.97
Boyang Jin,2017 GP Skate America,4,43.24
Boyang Jin,2017 GP Cup of China,6,61.16
Boyang Jin,2017 Finlandia Trophy,6,64.56
Boyang Jin,2017 World Championships,6,86.28
Boyang Jin,2017 Four Continents,7,76.84
Boyang Jin,2016 GP Cup of China,6,74.38
Boyang Jin,2016 GP Skate America,6,59.54
Alexei Bychenko,2018 European Championships,3,32.19
Alexei Bychenko,2017 GP Int'x de France,3,38.91
Alexei Bychenko,2017 GP NHK Trophy,3,37.19
Alexei Bychenko,2017 Golden Spin of Zagreb,3,24.37
Alexei Bychenko,2017 Minsk-Arena Ice Star,3,31.8
Alexei Bychenko,2017 World Championships,3,28.55
Alexei Bychenko,2017 European Championships,3,31.46
Alexei Bychenko,2016 GP NHK Trophy,2,18.29
Alexei Bychenko,2016 GP Rostelecom Cup,3,40.2
Alexei Bychenko,2016 Golden Spin of Zagreb,3,32.72
Alexei Bychenko,2016 Finlandia Trophy,2,18.1
Patrick Chan,2017 GP Skate Canada,2,21.47
Patrick Chan,2017 World Championships,4,55.54
Patrick Chan,2017 Four Continents,4,32.6
Patrick Chan,2016 Grand Prix Final,3,34.11
Patrick Chan,2016 GP Cup of China,4,50.86
Patrick Chan,2016 GP Skate Canada,3,40.7
Patrick Chan,2016 Finlandia Trophy,3,18.36
Dmitri Aliev,2018 European Championships,3,40.77
Dmitri Aliev,2018 Russian Nationals,3,34.56
Dmitri Aliev,2017 GP NHK Trophy,4,39.82
Dmitri Aliev,2017 GP Rostelecom Cup,4,40.26
Dmitri Aliev,2017 Tallinn Trophy,2,17.24
Dmitri Aliev,2017 World Jr. Championships,1,7.21
Adam Rippon,2018 US Nationals,1,5.5
Adam Rippon,2017 Grand Prix Final,1,3.9
Adam Rippon,2017 GP Skate America,1,3.9
Adam Rippon,2017 GP NHK Trophy,1,8.3
Adam Rippon,2017 Finlandia Trophy,1,5.5
Adam Rippon,2016 Grand Prix Final,1,2.2
Adam Rippon,2016 GP Trophee de France,1,10.87
Adam Rippon,2016 GP Skate America,1,6.3
Adam Rippon,2016 US Int'l FS Classic,1,6.14
