skater_name,skater_country,event,location,date,segment,tech_element,info,bv,goe
Yuzuru Hanyu,jpn,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",short,4Lo<,<,8.40,-2.06
Yuzuru Hanyu,jpn,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",short,FCSp4,,3.20,1.00
Yuzuru Hanyu,jpn,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",short,CSSp4,,3.00,0.86
Yuzuru Hanyu,jpn,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",short,3A,,9.35,3.00
Yuzuru Hanyu,jpn,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",short,4T+3T,,16.06,-3.54
Yuzuru Hanyu,jpn,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",short,StSq4,,3.90,2.00
Yuzuru Hanyu,jpn,2017 GP Rostelecom Cup,Moscow / RUS,"Oct. 22, 2017",short,CCoSp3,,3.00,1.07
Yuzuru Hanyu,jpn,2017 Autumn Classic Int'l,Montréal / CAN,"Sept. 23, 2017",short,4S,,10.50,3.00
Yuzuru Hanyu,jpn,2017 Autumn Classic Int'l,Montréal / CAN,"Sept. 23, 2017",short,FCSp4,,3.20,1.10
Yuzuru Hanyu,jpn,2017 Autumn Classic Int'l,Montréal / CAN,"Sept. 23, 2017",short,CSSp4,,3.00,1.50
Yuzuru Hanyu,jpn,2017 Autumn Classic Int'l,Montréal / CAN,"Sept. 23, 2017",short,3A,,9.35,3.00
Yuzuru Hanyu,jpn,2017 Autumn Classic Int'l,Montréal / CAN,"Sept. 23, 2017",short,4T+3T,,16.06,2.80
Yuzuru Hanyu,jpn,2017 Autumn Classic Int'l,Montréal / CAN,"Sept. 23, 2017",short,StSq4,,3.90,1.96
Yuzuru Hanyu,jpn,2017 Autumn Classic Int'l,Montréal / CAN,"Sept. 23, 2017",short,CCoSp4,,3.50,1.30
Yuzuru Hanyu,jpn,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,4Lo,,12.00,2.43
Yuzuru Hanyu,jpn,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,4S+COMBO+2T*,,10.50,-4.00
Yuzuru Hanyu,jpn,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,FCSp4,,3.20,1.00
Yuzuru Hanyu,jpn,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,3A,,9.35,2.71
Yuzuru Hanyu,jpn,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,CSSp4,,3.00,1.14
Yuzuru Hanyu,jpn,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,StSq4,,3.90,2.10
Yuzuru Hanyu,jpn,2017 World Championships,Helsinki / FIN,"April 2, 2017",short,CCoSp4,,3.50,1.21
Yuzuru Hanyu,jpn,2017 Four Continents,Gangneung / KOR,"Feb. 19, 2017",short,4Lo,,12.00,2.29
Yuzuru Hanyu,jpn,2017 Four Continents,Gangneung / KOR,"Feb. 19, 2017",short,2S+3T,,5.60,0.70
Yuzuru Hanyu,jpn,2017 Four Continents,Gangneung / KOR,"Feb. 19, 2017",short,FCSp3,,2.80,0.93
Yuzuru Hanyu,jpn,2017 Four Continents,Gangneung / KOR,"Feb. 19, 2017",short,3A,,9.35,3.00
Yuzuru Hanyu,jpn,2017 Four Continents,Gangneung / KOR,"Feb. 19, 2017",short,CSSp4,,3.00,1.21
Yuzuru Hanyu,jpn,2017 Four Continents,Gangneung / KOR,"Feb. 19, 2017",short,StSq3,,3.30,1.43
Yuzuru Hanyu,jpn,2017 Four Continents,Gangneung / KOR,"Feb. 19, 2017",short,CCoSp4,,3.50,1.00
Yuzuru Hanyu,jpn,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,4Lo,,12.00,-1.03
Yuzuru Hanyu,jpn,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,4S+3T,,14.80,2.57
Yuzuru Hanyu,jpn,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,FCSp4,,3.20,1.00
Yuzuru Hanyu,jpn,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,3A,,9.35,2.43
Yuzuru Hanyu,jpn,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,CSSp4,,3.00,1.07
Yuzuru Hanyu,jpn,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,StSq4,,3.90,2.10
Yuzuru Hanyu,jpn,2016 Grand Prix Final,Marseille / FRA,"Dec. 11, 2016",short,CCoSp4,,3.50,1.29
Yuzuru Hanyu,jpn,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",short,4Lo,,12.00,-2.63
Yuzuru Hanyu,jpn,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",short,4S+3T,,14.80,2.29
Yuzuru Hanyu,jpn,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",short,FCSp4,,3.20,0.93
Yuzuru Hanyu,jpn,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",short,3A,,9.35,3.00
Yuzuru Hanyu,jpn,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",short,CSSp4,,3.00,1.14
Yuzuru Hanyu,jpn,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",short,StSq4,,3.90,1.80
Yuzuru Hanyu,jpn,2016 GP NHK Trophy,Sapporo / JPN,"Nov. 27, 2016",short,CCoSp4,,3.50,1.07
Yuzuru Hanyu,jpn,2016 GP Skate Canada,Mississauga / CAN,"Oct. 30, 2016",short,4Lo<<+COMBO,<<,5.10,-2.10
Yuzuru Hanyu,jpn,2016 GP Skate Canada,Mississauga / CAN,"Oct. 30, 2016",short,3S,,4.40,-1.20
Yuzuru Hanyu,jpn,2016 GP Skate Canada,Mississauga / CAN,"Oct. 30, 2016",short,FCSp3,,2.80,0.43
Yuzuru Hanyu,jpn,2016 GP Skate Canada,Mississauga / CAN,"Oct. 30, 2016",short,3A,,9.35,2.71
Yuzuru Hanyu,jpn,2016 GP Skate Canada,Mississauga / CAN,"Oct. 30, 2016",short,CSSp4,,3.00,0.79
Yuzuru Hanyu,jpn,2016 GP Skate Canada,Mississauga / CAN,"Oct. 30, 2016",short,StSq4,,3.90,1.80
Yuzuru Hanyu,jpn,2016 GP Skate Canada,Mississauga / CAN,"Oct. 30, 2016",short,CCoSp4,,3.50,1.00
Yuzuru Hanyu,jpn,2016 Autumn Classic Int'l,Montreal / CAN,"Oct. 1, 2016",short,4Lo,,12.00,0.80
Yuzuru Hanyu,jpn,2016 Autumn Classic Int'l,Montreal / CAN,"Oct. 1, 2016",short,1S*+3T,,4.30,-2.10
Yuzuru Hanyu,jpn,2016 Autumn Classic Int'l,Montreal / CAN,"Oct. 1, 2016",short,FCSp3,,2.80,0.40
Yuzuru Hanyu,jpn,2016 Autumn Classic Int'l,Montreal / CAN,"Oct. 1, 2016",short,3A,,9.35,2.00
